Employee_ID,Age,Gender,Education,Department,Experience,Working_Hours,Performance_Score,Projects_Completed,Salary,Salary_Category
101,50,Male,PhD,Finance,13,55,4,13,62915,Medium
102,36,Male,Master,Finance,10,59,10,19,56952,Medium
103,29,Male,Master,IT,8,40,1,19,46465,Low
104,42,Female,Master,IT,33,42,10,14,112463,High
105,40,Male,Bachelor,HR,11,36,3,4,60108,Medium
106,44,Female,Master,IT,34,46,2,13,118935,High
107,32,Female,PhD,Sales,34,47,2,8,109812,High
108,32,Male,Master,Finance,0,59,1,19,32234,Low
109,45,Male,Master,HR,21,55,8,12,98078,High
110,57,Female,PhD,IT,28,41,3,18,100094,High
111,45,Male,Master,Sales,7,44,3,6,50271,Low
112,24,Female,Bachelor,Sales,10,47,6,18,56802,Medium
113,43,Female,Bachelor,IT,13,51,8,19,69781,Medium
114,23,Female,Bachelor,Finance,29,55,9,5,104268,High
115,45,Female,PhD,IT,34,48,9,9,116057,High
116,51,Female,Master,HR,20,36,4,3,85372,High
117,59,Male,Bachelor,IT,4,56,5,10,42098,Low
118,23,Male,PhD,Sales,18,45,2,19,74567,Medium
119,42,Female,Master,IT,13,35,9,3,74144,Medium
120,54,Female,PhD,Finance,25,53,8,15,91289,High
121,33,Male,Bachelor,Marketing,3,55,3,1,36086,Low
122,43,Male,Bachelor,IT,24,38,9,7,92848,High
123,46,Female,Bachelor,Finance,24,53,3,12,84091,Medium
124,48,Male,PhD,Finance,17,55,9,17,83961,Medium
125,49,Female,PhD,Sales,7,45,2,5,42791,Low
126,37,Male,Bachelor,Finance,13,42,10,4,70942,Medium
127,36,Female,PhD,Finance,31,45,9,12,121730,High
128,24,Male,Bachelor,Finance,32,38,8,18,112065,High
129,58,Female,Bachelor,Finance,22,51,9,17,92096,High
130,28,Male,Master,HR,14,41,5,19,72603,Medium
131,42,Male,PhD,HR,32,42,2,9,100485,High
132,30,Female,Bachelor,Sales,24,37,8,4,86992,High
133,39,Male,Bachelor,IT,16,56,6,2,73282,Medium
134,25,Female,PhD,Finance,32,36,8,4,111327,High
135,46,Male,Master,IT,1,57,5,2,30108,Low
136,35,Female,Master,IT,13,49,10,15,72475,Medium
137,30,Male,Bachelor,Sales,5,58,2,2,48749,Low
138,47,Female,PhD,Finance,5,56,6,4,43635,Low
139,23,Male,Master,Finance,2,56,5,6,42577,Low
140,41,Female,PhD,Marketing,6,39,5,7,53661,Low
141,49,Male,PhD,IT,7,58,1,10,49533,Low
142,28,Female,Bachelor,IT,14,35,2,19,66605,Medium
143,29,Female,Master,HR,28,38,8,19,99975,High
144,56,Female,Bachelor,Marketing,32,49,3,12,98362,High
145,35,Male,Master,HR,29,54,10,3,103564,High
146,38,Female,Master,HR,26,53,3,13,87869,High
147,57,Male,Master,HR,28,37,8,18,100798,High
148,25,Female,Master,Sales,32,54,8,8,115466,High
149,23,Male,Master,Sales,26,45,2,15,83040,Medium
150,27,Female,PhD,HR,32,51,8,1,110721,High
151,25,Male,Bachelor,Marketing,3,47,1,3,32482,Low
152,50,Male,PhD,IT,21,45,6,8,79699,Medium
153,39,Female,Master,Marketing,1,36,8,4,44593,Low
154,47,Male,Bachelor,Finance,9,43,3,16,47450,Low
155,55,Male,Master,Sales,4,36,8,10,52071,Low
156,31,Female,Bachelor,IT,9,55,1,12,44239,Low
157,57,Male,PhD,IT,32,43,9,14,114534,High
158,35,Male,Bachelor,Finance,12,43,9,14,59452,Medium
159,52,Male,Bachelor,Finance,30,42,5,2,98910,High
160,36,Female,Bachelor,HR,23,51,10,5,102082,High
161,29,Male,Bachelor,Sales,14,35,4,5,74142,Medium
162,35,Female,Bachelor,Sales,28,59,6,6,96737,High
163,44,Male,Master,Marketing,7,45,7,13,55749,Medium
164,42,Male,Bachelor,HR,4,42,5,9,50820,Low
165,37,Male,Bachelor,HR,28,44,10,15,107006,High
166,39,Female,PhD,HR,3,59,9,14,46032,Low
167,45,Male,Bachelor,HR,11,41,3,7,54056,Low
168,47,Male,PhD,Sales,1,37,7,2,44940,Low
169,46,Female,Master,Sales,26,37,10,7,104853,High
170,50,Male,Bachelor,HR,30,52,10,6,116578,High
171,36,Female,PhD,Marketing,25,39,5,17,82563,Medium
172,22,Female,PhD,IT,26,46,7,2,89334,High
173,46,Male,Master,IT,4,46,2,3,47009,Low
174,28,Female,Bachelor,Marketing,19,53,4,5,68842,Medium
175,30,Male,Bachelor,HR,10,40,2,5,60592,Medium
176,45,Female,PhD,Sales,9,36,7,1,57125,Medium
177,22,Female,Bachelor,IT,5,46,2,8,40795,Low
178,29,Male,PhD,Finance,7,53,1,12,47627,Low
179,45,Female,Bachelor,Finance,22,39,9,4,82473,Medium
180,32,Female,PhD,Marketing,25,46,1,13,90320,High
181,38,Female,Bachelor,HR,11,51,8,15,72248,Medium
182,29,Female,Master,IT,25,51,2,11,91752,High
183,56,Female,Bachelor,HR,12,44,8,10,64767,Medium
184,56,Male,Bachelor,IT,17,59,3,3,63309,Medium
185,54,Female,Master,Marketing,24,57,6,14,82502,Medium
186,26,Male,Bachelor,Marketing,32,51,3,16,97351,High
187,49,Female,Master,Finance,11,49,7,10,62538,Medium
188,28,Male,Bachelor,HR,3,46,10,10,49167,Low
189,30,Male,PhD,Finance,4,50,9,12,53942,Low
190,29,Female,PhD,HR,7,58,2,9,38819,Low
191,33,Female,Bachelor,Finance,27,53,5,1,101956,High
192,55,Female,Bachelor,Sales,30,42,6,5,106672,High
193,54,Male,Bachelor,Sales,8,55,4,8,50765,Low
194,44,Female,PhD,Sales,28,51,4,11,90451,High
195,45,Male,Bachelor,Sales,13,57,4,12,69645,Medium
196,58,Male,PhD,IT,21,39,2,1,77099,Medium
197,56,Male,Master,Sales,10,56,4,11,56699,Medium
198,43,Female,PhD,Marketing,22,50,1,5,81518,Medium
199,48,Female,PhD,Marketing,0,40,6,15,32634,Low
200,56,Male,Master,IT,20,42,1,5,73789,Medium
201,22,Male,PhD,Sales,25,59,10,12,101326,High
202,56,Female,Bachelor,Sales,22,52,6,5,89420,High
203,58,Male,Bachelor,Sales,0,59,1,17,35065,Low
204,35,Female,PhD,Finance,14,46,6,17,62224,Medium
205,24,Male,Bachelor,HR,20,49,10,12,84817,Medium
206,22,Female,PhD,Finance,8,43,8,15,55218,Medium
207,26,Male,Bachelor,HR,8,47,2,15,52125,Low
208,47,Female,Bachelor,Sales,9,49,2,6,53878,Low
209,35,Male,PhD,Sales,25,44,4,12,90577,High
210,48,Female,Bachelor,Finance,34,50,3,18,120728,High
211,30,Female,PhD,Finance,24,41,4,14,86145,High
212,36,Male,Bachelor,HR,25,51,7,2,91360,High
213,36,Male,Bachelor,Marketing,10,57,1,9,47416,Low
214,47,Female,Master,HR,1,55,6,5,31710,Low
215,34,Male,Master,Finance,6,56,3,1,40698,Low
216,53,Female,PhD,Finance,17,41,10,3,75806,Medium
217,53,Male,Master,IT,26,48,7,6,102150,High
218,25,Female,PhD,Finance,33,49,10,5,114795,High
219,51,Female,Master,IT,26,55,2,5,90566,High
